path	stage	stage_kind	job_id	stage_iteration	global_iteration	peak_image	barrier_forward_ev	barrier_reverse_ev
TO	ci_03	ci_neb	62475824	37	75	02	0.42339478	0.36049078
TO	ci_03	ci_neb	62475824	38	76	02	0.42347478	0.36057078
TO	ci_03	ci_neb	62475824	39	77	02	0.42354478	0.36064078
TO	ci_03	ci_neb	62475824	40	78	02	0.42362478	0.36072078
TO	ci_03	ci_neb	62475824	41	79	02	0.42369478	0.36079078
TO	ci_03	ci_neb	62475824	42	80	02	0.42376478	0.36086078
TO	ci_03	ci_neb	62475824	43	81	02	0.42382478	0.36092078
TO	ci_03	ci_neb	62475824	44	82	02	0.42389478	0.36099078
TO	ci_03	ci_neb	62475824	45	83	02	0.42395478	0.36105078
TO	ci_03	ci_neb	62475824	46	84	02	0.42401478	0.36111078
TO	ci_03	ci_neb	62475824	47	85	02	0.42406478	0.36116078
TO	ci_03	ci_neb	62475824	48	86	02	0.42411478	0.36121078
TO	ci_03	ci_neb	62475824	49	87	02	0.42416478	0.36126078
TO	ci_03	ci_neb	62475824	50	88	02	0.42420478	0.36130078
TO	ci_03	ci_neb	62475824	51	89	02	0.42424478	0.36134078
TO	ci_03	ci_neb	62475824	52	90	02	0.42429478	0.36139078
TO	ci_03	ci_neb	62475824	53	91	02	0.42433478	0.36143078
TO	ci_03	ci_neb	62475824	54	92	02	0.42437478	0.36147078
TO	ci_03	ci_neb	62475824	55	93	02	0.42440478	0.36150078
TO	ci_03	ci_neb	62475824	56	94	02	0.42444478	0.36154078
TO	ci_03	ci_neb	62475824	57	95	02	0.42447478	0.36157078
TO	ci_03	ci_neb	62475824	58	96	02	0.42450478	0.36160078
TO	ci_03	ci_neb	62475824	59	97	02	0.42453478	0.36163078
TO	ci_03	ci_neb	62475824	60	98	02	0.42455478	0.36165078
TO	ci_03	ci_neb	62475824	61	99	02	0.42458478	0.36168078
TO	ci_03	ci_neb	62475824	62	100	02	0.42461478	0.36171078
TO	ci_03	ci_neb	62475824	63	101	02	0.42463478	0.36173078
TO	ci_03	ci_neb	62475824	64	102	02	0.42465478	0.36175078
TO	ci_03	ci_neb	62475824	65	103	02	0.42468478	0.36178078
TO	ci_03	ci_neb	62475824	66	104	02	0.42470478	0.36180078
TO	ci_03	ci_neb	62475824	67	105	02	0.42472478	0.36182078
TO	ci_03	ci_neb	62475824	68	106	02	0.42473478	0.36183078
TO	ci_03	ci_neb	62475824	69	107	02	0.42476478	0.36186078
TO	ci_03	ci_neb	62475824	70	108	02	0.42477478	0.36187078
TO	ci_03	ci_neb	62475824	71	109	02	0.42479478	0.36189078
TO	ci_03	ci_neb	62475824	72	110	02	0.42480478	0.36190078
TO	ci_03	ci_neb	62475824	73	111	02	0.42482478	0.36192078
TO	ci_03	ci_neb	62475824	74	112	02	0.42483478	0.36193078
TO	ci_03	ci_neb	62475824	75	113	02	0.42484478	0.36194078
TO	ci_03	ci_neb	62475824	76	114	02	0.42485478	0.36195078
TO	ci_03	ci_neb	62475824	77	115	02	0.42486478	0.36196078
TO	ci_03	ci_neb	62475824	78	116	02	0.42487478	0.36197078
TO	ci_03	ci_neb	62475824	79	117	02	0.42488478	0.36198078
TO	ci_03	ci_neb	62475824	80	118	02	0.42488478	0.36198078
TO	ci_03	ci_neb	62475824	81	119	02	0.42489478	0.36199078
TO	ci_03	ci_neb	62475824	82	120	02	0.42489478	0.36199078
TO	ci_03	ci_neb	62475824	83	121	02	0.42489478	0.36199078
TO	ci_03	ci_neb	62475824	84	122	02	0.42491478	0.36201078
TO	ci_03	ci_neb	62475824	85	123	02	0.42491478	0.36201078
TO	ci_03	ci_neb	62475824	86	124	02	0.42492478	0.36202078
TO	ci_03	ci_neb	62475824	87	125	02	0.42492478	0.36202078
TO	ci_03	ci_neb	62475824	88	126	02	0.42492478	0.36202078
TO	ci_03	ci_neb	62475824	89	127	02	0.42493478	0.36203078
TO	ci_03	ci_neb	62475824	90	128	02	0.42493478	0.36203078
TO	ci_03	ci_neb	62475824	91	129	02	0.42494478	0.36204078
TO	ci_03	ci_neb	62475824	92	130	02	0.42494478	0.36204078
TO	ci_03	ci_neb	62475824	93	131	02	0.42494478	0.36204078
TO	ci_03	ci_neb	62475824	94	132	02	0.42495478	0.36205078
TO	ci_03	ci_neb	62475824	95	133	02	0.42495478	0.36205078
TO	ci_03	ci_neb	62475824	96	134	02	0.42495478	0.36205078
TO	ci_03	ci_neb	62475824	97	135	02	0.42496478	0.36206078
TO	ci_03	ci_neb	62475824	98	136	02	0.42496478	0.36206078
TO	ci_03	ci_neb	62475824	99	137	02	0.42496478	0.36206078
TO	ci_03	ci_neb	62475824	100	138	02	0.42497478	0.36207078
TO	ci_03	ci_neb	62475824	101	139	02	0.42497478	0.36207078
TO	ci_03	ci_neb	62475824	102	140	02	0.42498478	0.36208078
TO	ci_03	ci_neb	62475824	103	141	02	0.42498478	0.36208078
TO	ci_03	ci_neb	62475824	104	142	02	0.42499478	0.36209078
TO	ci_03	ci_neb	62475824	105	143	02	0.42499478	0.36209078
TO	ci_03	ci_neb	62475824	106	144	02	0.42500478	0.36210078
TO	ci_03	ci_neb	62475824	107	145	02	0.42500478	0.36210078
TO	ci_03	ci_neb	62475824	108	146	02	0.42500478	0.36210078
TO	ci_03	ci_neb	62475824	109	147	02	0.42500478	0.36210078
TO	ci_03	ci_neb	62475824	110	148	02	0.42500478	0.36210078
TO	ci_03	ci_neb	62475824	111	149	02	0.42501478	0.36211078
TO	ci_03	ci_neb	62475824	112	150	02	0.42501478	0.36211078
TO	ci_03	ci_neb	62475824	113	151	02	0.42501478	0.36211078
TO	ci_03	ci_neb	62475824	114	152	02	0.42501478	0.36211078
TO	ci_03	ci_neb	62475824	115	153	02	0.42501478	0.36211078
TO	ci_03	ci_neb	62475824	116	154	02	0.42501478	0.36211078
