path	stage	stage_kind	stage_iteration	global_iteration	max_projected_force_ev_a	rms_projected_force_ev_a	force_limit_ev_a
TO	ci_03	ci_neb	94	132	0.04909600	0.00589148	0.03000000
TO	ci_03	ci_neb	95	133	0.04832200	0.00590200	0.03000000
TO	ci_03	ci_neb	96	134	0.04785400	0.00579204	0.03000000
TO	ci_03	ci_neb	97	135	0.04734800	0.00573996	0.03000000
TO	ci_03	ci_neb	98	136	0.04690600	0.00566603	0.03000000
TO	ci_03	ci_neb	99	137	0.04650500	0.00560886	0.03000000
TO	ci_03	ci_neb	100	138	0.04604700	0.00556234	0.03000000
TO	ci_03	ci_neb	101	139	0.04545900	0.00551408	0.03000000
TO	ci_03	ci_neb	102	140	0.04512600	0.00543088	0.03000000
TO	ci_03	ci_neb	103	141	0.04474600	0.00539558	0.03000000
TO	ci_03	ci_neb	104	142	0.04422600	0.00534090	0.03000000
TO	ci_03	ci_neb	105	143	0.04359000	0.00523674	0.03000000
TO	ci_03	ci_neb	106	144	0.04299700	0.00520805	0.03000000
TO	ci_03	ci_neb	107	145	0.04246400	0.00517418	0.03000000
TO	ci_03	ci_neb	108	146	0.04190000	0.00510904	0.03000000
TO	ci_03	ci_neb	109	147	0.04119800	0.00506490	0.03000000
TO	ci_03	ci_neb	110	148	0.04065300	0.00500593	0.03000000
TO	ci_03	ci_neb	111	149	0.04007000	0.00500884	0.03000000
TO	ci_03	ci_neb	112	150	0.03940000	0.00501181	0.03000000
TO	ci_03	ci_neb	113	151	0.03924700	0.00498474	0.03000000
TO	ci_03	ci_neb	114	152	0.03884300	0.00495379	0.03000000
TO	ci_03	ci_neb	115	153	0.03856600	0.00488810	0.03000000
TO	ci_03	ci_neb	116	154	0.03796000	0.00482809	0.03000000
TO	ci_03	ci_neb	117	155	0.03776500	0.00480855	0.03000000
TO	ci_03	ci_neb	118	156	0.03724100	0.00470668	0.03000000
TO	ci_03	ci_neb	119	157	0.03684300	0.00462196	0.03000000
TO	ci_03	ci_neb	120	158	0.03647700	0.00458321	0.03000000
TO	ci_03	ci_neb	121	159	0.03617300	0.00454305	0.03000000
TO	ci_03	ci_neb	122	160	0.03564000	0.00449547	0.03000000
TO	ci_03	ci_neb	123	161	0.03520100	0.00448545	0.03000000
TO	ci_03	ci_neb	124	162	0.03469600	0.00442564	0.03000000
TO	ci_03	ci_neb	125	163	0.03418800	0.00437545	0.03000000
TO	ci_03	ci_neb	126	164	0.03369500	0.00432377	0.03000000
TO	ci_03	ci_neb	127	165	0.03315100	0.00427213	0.03000000
TO	ci_03	ci_neb	128	166	0.03274600	0.00422612	0.03000000
TO	ci_03	ci_neb	129	167	0.03229800	0.00422590	0.03000000
TO	ci_03	ci_neb	130	168	0.03189400	0.00415151	0.03000000
TO	ci_03	ci_neb	131	169	0.03137600	0.00411611	0.03000000
TO	ci_03	ci_neb	132	170	0.03098500	0.00406006	0.03000000
TO	ci_03	ci_neb	133	171	0.03045200	0.00402383	0.03000000
TO	ci_03	ci_neb	134	172	0.03009000	0.00401516	0.03000000
TO	ci_03	ci_neb	135	173	0.02960000	0.00396548	0.03000000
